"Annual Population Change (Thousand) by Component and Year"

" ","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Annual births",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.2,57.8,53.6,51.9,53.1,52.8,50.4,49.1,48.4,48.8,50.7,52.7,53.7,54.0,55.1,58.1,60.8,62.0,61.4,61.2,66.6,73.0,75.3,77.2,75.1,73.2,69.4,68.4,66.4,65.4,63.9,61.2,61.2
"Annual deaths",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.2,31.6,31.0,32.8,31.1,31.4,30.4,32.6,31.2,32.0,31.7,31.2,32.4,32.1,30.2,29.3,28.9,28.6,27.9,27.0,28.4,28.0,28.6,28.4,27.7,28.7,29.8,29.2,29.9,29.8,30.8,30.7,30.4
"Natural increase",26.6,27.3,29.1,28.2,24.7,25.6,27.8,25.4,24.9,27.5,26.2,26.8,27.9,30.8,32.0,29.2,28.7,28.5,28.0,29.7,33.3,35.2,35.6,34.9,33.3,34.6,34.1,35.1,38.2,40.8,40.4,37.6,38.0,34.0,31.0,28.6,29.0,26.2,22.6,19.1,22.0,21.4,20.0,16.6,17.2,16.7,19.0,21.5,21.2,21.8,24.8,28.8,31.9,33.3,33.5,34.2,38.2,44.9,46.7,48.8,47.5,44.5,39.6,39.2,36.5,35.6,33.1,30.5,30.8
"Immigrants",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,19.2,26.7,33.3,33.3,40.7,34.7,30.1,31.2,39.2,44.5,46.0,48.9,52.6,59.0,66.9,60.0,58.5,84.6,107.8,151.1,113.5,73.7,41.8,53.3,57.3,62.7,66.5,75.9,82.3,84.6,90.3,88.6
"Emigrants",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.2,61.1,70.6,56.3,35.3,33.4,35.1,34.8,33.1,31.2,25.3,28.6,31.5,26.6,26.2,25.6,29.3,26.5,29.4,36.0,46.3,49.2,72.0,69.2,80.6,83.0,81.3,75.0,70.0,66.2,64.8,56.3,54.9
"Net migration",-35.0,-35.0,-33.0,-36.0,-45.0,-48.0,-41.0,-58.0,-32.0,-41.0,-40.0,-15.0,-8.0,-17.0,-20.0,-21.0,-13.0,-16.0,-15.0,-5.0,-5.0,11.0,13.0,16.0,20.0,16.0,10.0,7.0,16.0,-8.0,2.0,-1.0,-14.0,-9.0,-20.0,-28.0,-23.0,-41.9,-43.9,-22.9,-2.0,7.4,-0.4,-4.7,-1.9,8.0,19.2,17.4,17.3,26.0,32.8,41.3,30.7,32.0,55.1,71.8,104.8,64.3,1.6,-27.5,-27.4,-25.7,-18.7,-8.5,5.9,16.2,19.8,34.0,33.7
"Population change",-8.4,-7.7,-3.9,-7.8,-20.3,-22.4,-13.2,-32.6,-7.1,-13.5,-13.8,11.8,19.9,13.8,12.0,8.2,15.7,12.5,13.0,24.7,28.3,46.2,48.6,50.9,53.3,50.6,44.1,42.1,54.2,32.8,42.4,36.6,24.0,25.0,11.0,0.6,5.9,-15.8,-21.2,-3.7,19.9,28.8,19.6,11.8,15.4,24.8,38.2,38.8,38.5,47.9,57.7,70.0,62.6,65.3,88.6,106.0,142.9,109.2,48.3,21.4,20.1,18.8,21.0,30.8,42.3,51.8,52.9,64.5,64.5
"Population",2960.6,2952.9,2949.0,2941.2,2920.9,2898.5,2885.3,2852.7,2845.6,2832.1,2818.3,2830.1,2850.0,2863.8,2875.8,2884.0,2899.7,2912.2,2925.2,2949.9,2978.2,3024.4,3073.0,3123.9,3177.2,3227.8,3271.9,3314.0,3368.2,3401.0,3443.4,3480.0,3504.0,3529.0,3540.0,3540.6,3546.5,3530.7,3509.5,3505.8,3525.7,3554.5,3574.1,3585.9,3601.3,3626.1,3664.3,3703.1,3741.6,3789.5,3847.2,3917.2,3979.9,4045.2,4133.8,4232.9,4375.8,4485.1,4533.4,4554.8,4574.9,4593.7,4614.7,4645.4,4687.8,4739.6,4792.5,4857.0,4921.5

"Preliminary figures used for 2017, 2018 and 2019. Figures for "
"immigration and emigration are not available prior to 1987.  "

