"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Intentional homicide","Per hundred thousand inhabitants","1.91",""
"2008","Belgium","Attempted intentional homicide","Per hundred thousand inhabitants","6.39",""
"2008","Belgium","Assault","Per hundred thousand inhabitants","715.43",""
"2008","Belgium","Kidnapping","Per hundred thousand inhabitants","9.50",""
"2008","Belgium","Sexual violence","Per hundred thousand inhabitants","101.05",""
"2008","Belgium","Rape","Per hundred thousand inhabitants","30.29",""
"2008","Belgium","Sexual assault","Per hundred thousand inhabitants","70.76",""
"2008","Belgium","Robbery","Per hundred thousand inhabitants","214.47",""
"2008","Belgium","Burglary","Per hundred thousand inhabitants","875.26",""
"2008","Belgium","Burglary of private residential premises","Per hundred thousand inhabitants","600.56",""
"2008","Belgium","Theft","Per hundred thousand inhabitants","2,303.23",""
"2008","Belgium","Theft of a motorized land vehicle","Per hundred thousand inhabitants","218.46",""
"2008","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","139.25",""
"2008","Bulgaria","Intentional homicide","Per hundred thousand inhabitants","2.29",""
"2008","Bulgaria","Attempted intentional homicide","Per hundred thousand inhabitants","0.80",""
"2008","Bulgaria","Assault","Per hundred thousand inhabitants","42.78",""
"2008","Bulgaria","Kidnapping","Per hundred thousand inhabitants","1.69",""
"2008","Bulgaria","Sexual violence","Per hundred thousand inhabitants","9.96",""
"2008","Bulgaria","Rape","Per hundred thousand inhabitants","3.48",""
"2008","Bulgaria","Sexual assault","Per hundred thousand inhabitants","6.48",""
"2008","Bulgaria","Robbery","Per hundred thousand inhabitants","38.15",""
"2008","Bulgaria","Burglary","Per hundred thousand inhabitants","265.76",""
"2008","Bulgaria","Burglary of private residential premises","Per hundred thousand inhabitants","89.72",""
"2008","Bulgaria","Theft","Per hundred thousand inhabitants","566.01",""
"2008","Bulgaria","Theft of a motorized land vehicle","Per hundred thousand inhabitants","61.45",""
"2008","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","38.00",""
"2008","Czechia","Intentional homicide","Per hundred thousand inhabitants","1.09",""
"2008","Czechia","Attempted intentional homicide","Per hundred thousand inhabitants","0.86",""
"2008","Czechia","Assault","Per hundred thousand inhabitants","52.18",""
"2008","Czechia","Kidnapping","Per hundred thousand inhabitants","0.15",""
"2008","Czechia","Sexual violence","Per hundred thousand inhabitants","16.24",""
"2008","Czechia","Rape","Per hundred thousand inhabitants","5.11",""
"2008","Czechia","Sexual assault","Per hundred thousand inhabitants","11.13",""
"2008","Czechia","Robbery","Per hundred thousand inhabitants","44.87",""
"2008","Czechia","Burglary","Per hundred thousand inhabitants","516.09",""
"2008","Czechia","Burglary of private residential premises","Per hundred thousand inhabitants","44.80",""
"2008","Czechia","Theft","Per hundred thousand inhabitants","1,433.41",""
"2008","Czechia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","305.45",""
"2008","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","27.19",""
"2008","Denmark","Intentional homicide","Per hundred thousand inhabitants","0.96",""
"2008","Denmark","Attempted intentional homicide","Per hundred thousand inhabitants","3.59",""
"2008","Denmark","Assault","Per hundred thousand inhabitants","30.37",""
"2008","Denmark","Kidnapping","Per hundred thousand inhabitants",":",""
"2008","Denmark","Sexual violence","Per hundred thousand inhabitants","33.09",""
"2008","Denmark","Rape","Per hundred thousand inhabitants","17.81",""
"2008","Denmark","Sexual assault","Per hundred thousand inhabitants","15.29",""
"2008","Denmark","Robbery","Per hundred thousand inhabitants","62.09",""
"2008","Denmark","Burglary","Per hundred thousand inhabitants","1,708.94",""
"2008","Denmark","Burglary of private residential premises","Per hundred thousand inhabitants","1,073.63",""
"2008","Denmark","Theft","Per hundred thousand inhabitants","5,427.63",""
"2008","Denmark","Theft of a motorized land vehicle","Per hundred thousand inhabitants","13.61",""
"2008","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","369.99",""
"2008","Germany (until 1990 former territory of the FRG)","Intentional homicide","Per hundred thousand inhabitants","0.80",""
"2008","Germany (until 1990 former territory of the FRG)","Attempted intentional homicide","Per hundred thousand inhabitants","1.96",""
"2008","Germany (until 1990 former territory of the FRG)","Assault","Per hundred thousand inhabitants","630.64",""
